星空卫视[768*576][768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/startv
凤凰中文[1920*1080][1920*1080],http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221228057/index.m3u8$JS1080P

凤凰中文[1280*720][1280*720],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/index.m3u8

凤凰资讯[1920*1080][1920*1080],http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8$JS1080P

凤凰资讯[1280*720][1280*720],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8

凤凰香港[1920*1080][1920*1080],http://223.110.236.2/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8$JS1080P

凤凰电影[768*576][768*576],rtmp://58.200.131.2:1935/livetv/fhdy

凤凰电影1[768*576][768*576],rtmp://ivi.bupt.edu.cn/livetv/fhdy

凤凰中文全网通[768*576][768*576],rtmp://58.200.131.2:1935/livetv/fhzw

凤凰资讯全网通[768*576][768*576],rtmp://58.200.131.2:1935/livetv/fhzx

央视电信,#genre#

央视新闻[1920*1080][1920*1080],https://newsalic.v.myalicdn.com:443/news/news10_1/index.m3u8

CCTV-1综合[1920*1080][1920*1080],http://223.110.243.159/ott.js.chinamobile.com/PLTV/3/224/3221227725/index.m3u8

CCTV-2财经[1920*1080][1920*1080],http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227696/index.m3u8

CCTV-3综艺[1920*1080][1920*1080],http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227650/index.m3u8

CCTV-4国际[1920*1080][1920*1080],http://223.110.245.142/ott.js.chinamobile.com/PLTV/3/224/3221227658/index.m3u8

CCTV-5+体育赛事[1920*1080][1920*1080],http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227631/index.m3u8

CCTV-6电影[1920*1080][1920*1080],http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227430/index.m3u8

CCTV-7国防军事[1920*1080][1920*1080],http://223.110.243.147/ott.js.chinamobile.com/PLTV/3/224/3221227690/index.m3u8

CCTV-8电视剧[1920*1080][1920*1080],http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227629/index.m3u8

CCTV-9纪录[1920*1080][1920*1080],http://223.110.243.151/ott.js.chinamobile.com/PLTV/3/224/3221227614/index.m3u8

CCTV-10科教[1920*1080][1920*1080],http://223.110.243.148/ott.js.chinamobile.com/PLTV/3/224/3221227620/index.m3u8

CCTV-11戏曲[1920*1080][1920*1080],http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227720/index.m3u8

CCTV-12社会与法[1920*1080][1920*1080],http://223.110.243.165/ott.js.chinamobile.com/PLTV/3/224/3221227637/index.m3u8

CCTV-13新闻[768*576][768*576],http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227601/index.m3u8

CCTV-14少儿[1920*1080][1920*1080],http://223.110.243.141/ott.js.chinamobile.com/PLTV/3/224/3221227693/index.m3u8

CCTV-15音乐[1920*1080][1920*1080],http://223.110.243.154/ott.js.chinamobile.com/PLTV/3/224/3221227723/index.m3u8

CCTV-17农业农村[1920*1080][1920*1080],http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227726/index.m3u8

卫视电信,#genre#

东方卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227040/index.m3u8

东方卫视[1920*1080][1920*1080],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227688/index.m3u8

北京卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225937/index.m3u8

四川卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227006/index.m3u8

四川卫视[1047*576][1047*576],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225814/index.m3u8

山东卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226992/index.m3u8

山东卫视[1920*1080][1920*1080],http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227697/index.m3u8

