有线18台,rtmp://59.124.75.130/sat/hk042
中视,rtmp://59.124.75.130/sat/tv091
华视,rtmp://59.124.75.130/sat/tv112
台视,rtmp://59.124.75.130/sat/tv071
民视,rtmp://59.124.75.130/sat/tv052
TVBS·欢乐台,rtmp://59.124.75.130/sat/tv422
TVBS·欢乐台,rtmp://59.124.75.130/sat/tv421
TVBS·新闻台,rtmp://59.124.75.130/sat/tv552
纬来体育,rtmp://59.124.75.130/sat/tv721
纬来体育,rtmp://59.124.75.130:1935/sat/tv721
纬来育乐,rtmp://59.124.75.130/sat/tv701
纬来育乐,rtmp://59.124.75.130/sat/tv702
纬来育乐,rtmp://59.124.75.130:1935/sat/tv701
纬来日本,rtmp://59.124.75.130:1935/sat/tv521
纬来日本,rtmp://59.124.75.130/sat/tv522
爱尔达体育一,rtmp://59.124.75.130/sat/md011
东森超视,rtmp://59.124.75.130/sat/tv772
东森超视,rtmp://59.124.75.130:1935/sat/tv771
东森超视,rtmp://59.124.75.130/sat/tv771
博斯魅力,rtmp://59.124.75.130/sat/md042
东森财经新闻,rtmp://59.124.75.130:1935/sat/tv571
MoMo综合台,rtmp://59.124.75.130/sat/tv761
TVBS欢乐,rtmp://59.124.75.130:1935/sat/tv421
TVBS新闻,rtmp://59.124.75.130:1935/sat/tv551
Mono综合,rtmp://59.124.75.130:1935/sat/tv761
FOX体育,rtmp://59.124.75.130:1935/sat/tv731
FOX2体育,rtmp://59.124.75.130:1935/sat/tv741
TVBS新聞,rtmp://59.124.75.130/sat/tv551
翡翠台,http://23.224.121.115/dai/tang.php?id=jade
翡翠台1,http://116.199.5.52:8114/index.m3u8?Fsv_chan_hls_se_idx=188&FvSeid=1&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=2&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=.m3u8&Fsv_CMSID=&Fsv_otype=1
莲花卫视,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8
无线新闻台,http://qj.yyrjdp.cn/jiuban/tvb22.php?id=1
无线财经台,http://qj.yyrjdp.cn/jiuban/tvb22.php?id=2
凤凰中文,http://qj.yyrjdp.cn/jiuban/iptv5/fenghuang2.php?id=2
凤凰资讯,http://qj.yyrjdp.cn/jiuban/iptv5/fenghuang2.php?id=1
凤凰香港,http://qj.yyrjdp.cn/jiuban/iptv5/fenghuang2.php?id=3
英国sky TG24,http://skyianywhere2-i.akamaihd.net:80/hls/live/200275/tg24/playlist.m3u8
CNN,http://218.202.220.2:5000/nn_live.ts?id=CNN
星空卫视,rtmp://ivi.bupt.edu.cn:1935/livetv/startv
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
星空音乐,rtmp://58.200.131.3:1935/livetv/channelv
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
国家地理,rtmp://ivi.bupt.edu.cn:1935/livetv/natlgeo
探索频道,rtmp://ivi.bupt.edu.cn:1935/livetv/discovery
星空体育,rtmp://ivi.bupt.edu.cn:1935/livetv/starsports
亞洲影院,http://101.71.255.229:6610/zjhs/2/10052/z.m3u8?ZTEUPSTREAM=1&IASHttpSessionId=SLB4328320190321203540013412&m3u8_level=2&ztecid=10052&virtualDomain=zjhs.live_hls.zte.com&ispcode=3&tid=C3V7K4ET1VFDUJY6C1IASRV55G66&ts=1553493153
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8
香港卫视文旅,https://myun-hw-s3.myun.tv/melj80jz/lxx27bol/1551285536499984128.m3u8
Fox Family,https://livecdn.fptplay.net/hda/foxfamilymovies_hls.smil/chunklist_b2500000.m3u8

TVB 翡翠台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-81
TVB J2,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-82
TVB 新聞台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-83
明珠台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-84
財經資訊台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-85
31港台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-31
32港台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-32
33港台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-33
ViuTV six,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-96
ViuTV,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tv-99
華視,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-501
華視教育體育文化台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-502
華視新聞資訊台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-503
華視國會頻道1,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-504
華視國會頻道2,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-505
中視,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-100
中視新聞台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-101
中視經典台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-102
中視菁采台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-103
民視,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-300
民視第一台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-301
民視新聞台,http://qj.yyrjdp.cn/jiuban/iptv5/qita222.php?id=tw-302
耀才財經台1,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8?wowzasessionid=64000
耀才財經台1,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
澳门卫视,http://61.244.22.5/ch3/ch3.live/chunklist_w1228316132.m3u8
澳视资讯,http://61.244.22.5/ch5/info_ch5.live/master.m3u8
凤凰香港台,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8
凤凰香港台,http://223.82.250.72/live/fhhongkong/1.m3u8
凤凰香港台,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8
凤凰资讯,http://117.169.120.138:8080/live/fhzixun/index.m3u8
凤凰卫视中文台,http://117.169.120.138:8080/live/fhchinese/.m3u8
凤凰卫视中文台,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰卫视中文台1,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
凤凰卫视香港台,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
鳳凰資訊,http://117.169.120.138:8080/live/fhzixun/.m3u8
鳳凰資訊,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰卫视资讯台,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8

WWE,http://47.242.54.220/daili/ce50.php?gun=3&id=wwe_pye
TVB 翡翠,http://47.242.54.220/daili/ce50.php?gun=1&id=Jade
天映经典,http://47.242.54.220/daili/ce50.php?gun=3&id=celestial2_pye
天映频道,http://47.242.54.220/daili/ce50.php?gun=3&id=celestial_pye
CATCHPAYj电影台,http://47.242.54.220/daili/ce50.php?gun=3&id=cmovie_pye
三立都会台,http://47.242.54.220/daili/ce50.php?gun=3&id=sldou_pye
三立都会台,http://50.7.59.216:61980/myplay/cn_4_14024/index.m3u8?key=84797b799ae18d1b
